Catcode,Project Category,Catorder
G6550,EXCLUDED,N07
G6700,EXCLUDED,N06
G6800,EXCLUDED,N04
G7000,EXCLUDED,N12
H0000,Health,H05
H1000,Health,H01
H1100,Health,H01
H1110,Health,H01
H1120,Health,H01
H1130,Health,H01
H1400,Health,H01
H1500,Health,H01
H1700,Health,H01
H1710,Health,H01
H1750,Health,H01
H2000,Health,H02
H2100,Health,H02
H2200,Health,H02
H2300,Health,H02
H3000,Health,H03
H3100,Health,H03
H3200,Health,H03
H3300,Health,H03
H3400,Health,H03
H3500,Health,H03
H3700,Health,H03
H3800,Health,H03
H3900,Health,H03
H4000,Health,H04
H4100,Health,H04
H4200,Health,H04
H4300,Health,H04
H4400,Health,H04
H4500,Health,H04
H4600,Health,H04
H4700,Health,H04
H5000,EXCLUDED,W04
H5100,EXCLUDED,W04
H5150,EXCLUDED,W04
H5170,EXCLUDED,W04
H5200,EXCLUDED,W04
H5300,EXCLUDED,W04
H6000,EXCLUDED,W07
J0000,EXCLUDED,Q10
J1000,EXCLUDED,Q10
J1100,EXCLUDED,Q01
J1110,EXCLUDED,Q01
J1200,EXCLUDED,Q02
J1300,EXCLUDED,Q10
J2000,EXCLUDED,Q03
J2100,EXCLUDED,Q03
J2200,EXCLUDED,Q03
J2300,EXCLUDED,Q03
J2400,EXCLUDED,Q03
J2500,EXCLUDED,Q03
J3000,EXCLUDED,Q10
J4000,EXCLUDED,Q10
J5000,Defense & Global Relations,Q04
J5100,Defense & Global Relations,Q05
J5200,Defense & Global Relations,Q04
J5300,Defense & Global Relations,Q04
J5400,Defense & Global Relations,Q04
J6100,EXCLUDED,Q12
J6200,EXCLUDED,Q13
J6500,EXCLUDED,Q10
J7000,EXCLUDED,Q09
J7120,EXCLUDED,Q14
J7150,EXCLUDED,Q15
J7200,EXCLUDED,Q10
J7210,EXCLUDED,Q10
J7300,EXCLUDED,Q09
J7400,EXCLUDED,Q08
J7500,EXCLUDED,Q09
J7510,EXCLUDED,Q09
J7600,EXCLUDED,Q10
J7700,EXCLUDED,Q09
J8000,EXCLUDED,Q10
J9000,EXCLUDED,Q10
J9100,EXCLUDED,Q10
JD100,Defense & Global Relations,Q04
JD200,Defense & Global Relations,Q04
JE300,Energy & Transportation,Q11
JH100,EXCLUDED,Q09
JW100,EXCLUDED,Q10
K0000,"Finance, Insurance & Real Estate",K01
K1000,"Finance, Insurance & Real Estate",K01
K1100,"Finance, Insurance & Real Estate",K01
K1200,"Finance, Insurance & Real Estate",K01
K2000,"Finance, Insurance & Real Estate",K02
K2100,"Finance, Insurance & Real Estate",K02
L0000,Labor/Employment,P05
L1000,Labor/Employment,P04
L1100,Labor/Employment,P04
L1200,Labor/Employment,P04
L1300,Labor/Employment,P04
L1400,Labor/Employment,P04
L1500,Labor/Employment,P04
L5000,Labor/Employment,P05
LA100,Labor/Employment,P05
LB100,Labor/Employment,P01
LC100,Labor/Employment,P02
LC150,Labor/Employment,P02
LD100,Labor/Employment,P05
LE100,Labor/Employment,P02
LE200,Labor/Employment,P02
LG000,Labor/Employment,P05
LG100,Labor/Employment,P05
LG200,Labor/Employment,P05
LG300,Labor/Employment,P05
LG400,Labor/Employment,P05
LG500,Labor/Employment,P05
LH100,Labor/Employment,P05
LM100,Labor/Employment,P02
LM150,Labor/Employment,P02
LT000,Labor/Employment,P03
LT100,Labor/Employment,P03
LT300,Labor/Employment,P03
LT400,Labor/Employment,P03
LT500,Labor/Employment,P03
LT600,Labor/Employment,P03
M0000,EXCLUDED,N15
M1000,EXCLUDED,N13
M1100,EXCLUDED,N13
M1300,EXCLUDED,N13
M1400,EXCLUDED,N15
M1500,EXCLUDED,N13
M1600,EXCLUDED,N13
M1700,EXCLUDED,N13
M2000,EXCLUDED,N15
M2100,EXCLUDED,N14
M2200,EXCLUDED,N15
M2250,EXCLUDED,N15
M2300,EXCLUDED,N15
M2400,EXCLUDED,N15
M3000,EXCLUDED,N15
M3100,EXCLUDED,N15
M3200,EXCLUDED,N15
M3300,EXCLUDED,N15
M3400,EXCLUDED,N15
M3500,EXCLUDED,N15
M3600,EXCLUDED,N15
M4000,EXCLUDED,N15
M4100,EXCLUDED,N15
M4200,EXCLUDED,N15
M4300,EXCLUDED,N15
M5000,EXCLUDED,N15
M5100,EXCLUDED,N15
